Rank,Name,Symbol,marketcap,price (USD),country,Sector
53,Experian,EXPGF,46147911680,50.5,Ireland, Finance
54,Dassault Systèmes,DSY.PA,46118534998,35.2637,France, Technology
55,Danone,BN.PA,45610724641,70.8077,France, Consumer Staples
56,BMW,BMW.DE,44702899446,72.1881,Germany, Consumer Discretionary
57,Crédit Agricole,ACA.PA,44686958042,14.2403,France, Finance 
58,DHL Group (Deutsche Post),DHL.DE,44517751235,38.0891,Germany, Industrials
59,Adyen,ADYEN.AS,44512318171,1372.37,Netherlands, Technology
60,Heineken,HEIA.AS,43983460214,77.7958,Netherlands, Consumer Staples
61,Flutter Entertainment,FLUT,43694391296,245.43,Ireland, Consumer Discretionary
62,CaixaBank,CABK.MC,42858511239,5.96786,Spain, Finance
63,Deutsche Börse,DB1.DE,42197846272,229.807,Germany, Finance
64,Adidas,ADS.DE,42071556251,235.63,Germany, Consumer Discretionary
65,BASF,BAS.DE,42046612747,47.1099,Germany, Basic Materials
66,Ingersoll Rand,IR,41608974336,103.245,Ireland, Industrials
67,Generali,G.MI,41561886285,27.0786,Italy, Finance
68,Wolters Kluwer,WKL.AS,40953294804,173.568,Netherlands, Technology
69,Nordea Bank,NDA-FI.HE,40500574830,11.5766,Finland, Finance
70,Infineon,IFX.DE,39886329430,30.7452,Germany, Technology
71,ENGIE,ENGI.PA,39386041436,16.327,France, Utilities
72,Stellantis,STLA,38493347840,13.335,Netherlands, Consumer Discretionary
73,UCB,UCB.VI,37922104622,199.666,Belgium, Health Care
74,Argenx,ARGX,36210413568,592.165,Netherlands,   Health Care
75,Thales,HO.PA,35494015434,172.921,France, Industrials
76,Assa Abloy,ASSA-B.ST,34411154787,30.9793,Sweden, Industrials
77,EQT,EQT.ST,34180685125,28.9556,Sweden, Finance
78,E.ON,EOAN.DE,33613892686,12.8707,Germany, Utilities
79,Exor,EXO.AS,33578542435,101.531,Netherlands, Finance
80,Siemens Energy,ENR.F,33392727238,42.2625,Germany, Energy
81,Deutsche Bank,DB,33123565568,16.6112,Germany, Finance
82,Henkel,HEN3.DE,32938819057,83.3603,Germany, Consumer Staples
83,Daimler Truck,DTG.F,32319719236,40.4616,Germany, Industrials
84,Ahold Delhaize,AD.AS,32168357615,34.9186,Netherlands, Consumer Staples
85,Aena,AENA.MC,32044647195,213.631,Spain,  Industrials
86,Amadeus IT Group,AMS.MC,31871630618,73.1586,Spain, Technology
87,Hannover Rück,HNR1.DE,30926310657,256.443,Germany, Finance
88,Pernod Ricard,RI.PA,30705975628,122.183,France, Consumer Staples
89,Beiersdorf,BEI.DE,30442732647,135.231,Germany, Consumer Staples
90,Hapag-Lloyd,HLAG.DE,30421093152,173.083,Germany, Industrials
91,Orange,ORAN,30091730944,11.15,France, Telecommunications
92,Coloplast,COLO-B.CO,29946799482,132.899,Denmark, Health Care
93,Legrand,LR.PA,29945819338,105.92,France, Industrials
94,KBC,KBCSF,29787574272,74.36,Belgium, Finance
95,Kering,KER.PA,29278780459,238.812,France, Consumer Discretionary
96,Skandinaviska Enskilda Banken,SEB-A.ST,29201753866,14.3333,Sweden, Finance
97,Capgemini,CAP.PA,29196363533,174.323,France, Technology
98,Novozymes,NZYM.VI,28555807527,61.0374,Denmark, Health Care
99,Publicis Groupe,PUB.PA,27946533601,111.345,France, Communication Services
100,KONE,KNEBV.HE,27905047963,53.92,Finland, Industrials
101,Ferrovial,FER.MC,27777613907,38.693,Spain, Industrials
102,Smurfit Westrock,SW,27363180544,52.69,Ireland, Basic Materials
103,Ericsson,ERIC,27082530816,8.105,Sweden, Technology
104,Vonovia,VNA.DE,27019858324,32.3304,Germany, Real Estate
105,ASM International,ASM.AS,26988942866,549.768,Netherlands, Technology
106,BioNTech,BNTX,26924001280,112.305,Germany, Health Care
107,Verbund AG,OEWA.F,26880952995,77.6987,Austria, Utilities
108,Rheinmetall,RHM.F,25661941344,583.414,Germany, Industrials
109,Ryanair,RYAAY,25525653504,46.9175,Ireland, Industrials
