date,symb
1999-01-01 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; DTE; ALV; G; MBG; TIT; ISP; BAYN; LAT; HEIA; KPN; RWE; CS; SIE; MUV2; BNP; BN; LHA; FRE; HEI; BMW; WKL; BAS; RAND; BEI; ADS; VOW3; AKZA; HEN3; CON; CDI; EN; PNL; MLP; CEC; MRK; INTRK; BPE; SOI; LI; TFI; GFC; 1U1; SSL; DEZ; ELHA; BPSO; MF; ATTICA; CRBN; ELPE; TEP; MYTIL; AALB; BWB; LOUP; SAVE; LPK; VOS; MUB; CRI; GMM; BEN; RHK; ERG; HAW; PUM; BRNL; BESI; SLIGR; BOI; TWEKA; BDT; VIRP; WSU; ERF; ARCAD; KSB; IUR; GLO; DAM; ELEC; RSL2; LEI; HCO; VIL; UZU; TRI; ECK; STO3; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-04 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; SAN; ING; AEG; MDT; SAP; BBVA; JCI; G; TEF; TIT; MBG; AMRN; BAYN; ISP; LAT; TTE; KPN; HEIA; RWE; MT; CS; SIE; BNP; MUV2; E; BN; LHA; FRE; PHG; HEI; BMW; WKL; CRH; BAS; FMS; RAND; BEI; VOW3; ADS; NVO; ASML; HEN3; ETN; CON; AKZA; CDI; PNL; TT; STE; EN; ALKS; INTRK; MLP; CEC; QGEN; MRK; BPE; ALV; SOI; LI; TFI; GFC; NTZ; PRGO; 1U1; SSL; DEZ; RYAAY; VEON; MF; TRIB; ELHA; BPSO; ICLR; CRBN; ELPE; ATTICA; TEP; AVDL; BWB; CLB; MYTIL; AALB; LOUP; SAVE; LPK; MUB; VOS; GMM; CRI; BEN; RHK; ERG; HAW; PUM; BRNL; BESI; BOI; TWEKA; SLIGR; BDT; ERF; WSU; VIRP; ARCAD; KSB; IUR; DAM; GLO; ELEC; RSL2; LEI; HCO; EDAP; CEN; VIL; UZU; ECK; TRI; STO3; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-05 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; SAN; AEG; ING; MDT; BBVA; SAP; JCI; TEF; G; TIT; MBG; AMRN; BAYN; ISP; LAT; TTE; KPN; HEIA; RWE; MT; CS; SIE; MUV2; BNP; E; BN; PHG; LHA; FRE; HEI; BMW; WKL; CRH; BAS; FMS; RAND; ASML; BEI; VOW3; NVO; ADS; HEN3; ETN; CON; AKZA; CDI; PNL; TT; STE; EN; QGEN; INTRK; CEC; ALKS; MLP; MRK; BPE; SOI; LI; ALV; TFI; GFC; NTZ; 1U1; SSL; DEZ; PRGO; VEON; TRIB; RYAAY; MF; ELHA; BPSO; ICLR; CRBN; ELPE; ATTICA; TEP; AVDL; MYTIL; BWB; CLB; AALB; LOUP; SAVE; LPK; VOS; MUB; GMM; CRI; BEN; RHK; ERG; PUM; HAW; BRNL; BESI; SLIGR; BOI; TWEKA; BDT; WSU; ERF; VIRP; ARCAD; KSB; ELEC; RSL2; GLO; DAM; IUR; LEI; HCO; EDAP; VIL; CEN; UZU; ECK; TRI; STO3; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-06 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; SAN; ING; AEG; MDT; BBVA; SAP; JCI; TEF; G; MBG; TIT; AMRN; BAYN; ISP; KPN; TTE; LAT; MT; HEIA; RWE; BNP; SIE; CS; MUV2; E; PHG; BN; LHA; FRE; HEI; BMW; CRH; BAS; WKL; FMS; ASML; RAND; VOW3; BEI; NVO; ADS; HEN3; CON; ETN; CDI; AKZA; PNL; TT; EN; STE; ALKS; CEC; INTRK; QGEN; MLP; MRK; BPE; SOI; ALV; LI; TFI; 1U1; GFC; VEON; NTZ; SSL; DEZ; PRGO; TRIB; MF; RYAAY; ELHA; BPSO; ICLR; CRBN; ELPE; ATTICA; TEP; AVDL; MYTIL; CLB; BWB; AALB; LOUP; SAVE; LPK; MUB; VOS; GMM; CRI; BEN; RHK; PUM; ERG; HAW; ASM; BESI; SLIGR; BRNL; BOI; BDT; TWEKA; ERF; WSU; VIRP; ARCAD; KSB; ELEC; IUR; GLO; DAM; RSL2; LEI; HCO; EDAP; VIL; CEN; UZU; ECK; TRI; STO3; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-07 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; ING; SAN; AEG; SAP; MDT; BBVA; JCI; G; TEF; TIT; MBG; AMRN; ISP; TTE; BAYN; KPN; LAT; MT; HEIA; RWE; BNP; SIE; CS; MUV2; E; BN; LHA; PHG; FRE; HEI; BMW; CRH; BAS; WKL; FMS; ASML; RAND; VOW3; BEI; NVO; ADS; CDI; CON; ETN; HEN3; AKZA; TT; EN; MLP; PNL; ALKS; INTRK; STE; QGEN; CEC; MRK; BPE; SOI; TFI; 1U1; ALV; LI; GFC; NTZ; VEON; SSL; PRGO; DEZ; MF; TRIB; RYAAY; ELHA; BPSO; ICLR; CRBN; ELPE; ATTICA; TEP; MYTIL; CLB; AVDL; AALB; BWB; LOUP; LPK; SAVE; MUB; VOS; CRI; GMM; BEN; RHK; PUM; ASM; ERG; HAW; BESI; SLIGR; BRNL; BDT; BOI; TWEKA; ERF; WSU; VIRP; ARCAD; KSB; ELEC; GLO; DAM; RSL2; IUR; LEI; HCO; EDAP; VIL; CEN; UZU; ECK; TRI; STO3; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-08 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; ING; SAN; AEG; MDT; SAP; BBVA; JCI; AMRN; G; TEF; MBG; TIT; ISP; TTE; BAYN; LAT; MT; KPN; HEIA; RWE; SIE; BNP; CS; MUV2; E; LHA; PHG; BN; FRE; HEI; BMW; CRH; BAS; WKL; FMS; ASML; VOW3; BEI; RAND; ADS; NVO; CDI; ETN; CON; HEN3; AKZA; TT; ALKS; EN; MLP; STE; INTRK; PNL; QGEN; CEC; MRK; BPE; SOI; TFI; ALV; 1U1; LI; GFC; PRGO; NTZ; SSL; DEZ; VEON; ELHA; MF; TRIB; RYAAY; BPSO; ICLR; CRBN; ELPE; ATTICA; TEP; MYTIL; CLB; AVDL; AALB; BWB; LPK; LOUP; SAVE; MUB; VOS; CRI; GMM; BEN; RHK; ASM; PUM; BESI; ERG; HAW; BDT; SLIGR; BRNL; BOI; TWEKA; ERF; VIRP; WSU; ARCAD; KSB; ELEC; GLO; IUR; RSL2; DAM; LEI; HCO; EDAP; VIL; CEN; UZU; ECK; TRI; STO3; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-11 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; ING; SAN; AEG; MDT; SAP; BBVA; JCI; AMRN; G; TEF; MBG; TIT; ISP; TTE; BAYN; MT; LAT; KPN; HEIA; RWE; SIE; BNP; MUV2; CS; E; LHA; PHG; BN; FRE; HEI; BMW; CRH; BAS; WKL; FMS; ASML; VOW3; BEI; RAND; ADS; NVO; CDI; ETN; CON; HEN3; AKZA; ALKS; TT; EN; MLP; INTRK; PNL; STE; QGEN; CEC; BPE; MRK; SOI; TFI; ALV; 1U1; LI; GFC; SSL; NTZ; PRGO; DEZ; ELHA; VEON; MF; TRIB; RYAAY; BPSO; ICLR; CRBN; ELPE; ATTICA; MYTIL; TEP; CLB; BWB; AVDL; AALB; LPK; LOUP; SAVE; VOS; MUB; CRI; GMM; BESI; BEN; ASM; RHK; PUM; HAW; ERG; BDT; SLIGR; BOI; BRNL; TWEKA; ERF; VIRP; WSU; ARCAD; KSB; ELEC; GLO; IUR; RSL2; DAM; LEI; EDAP; HCO; VIL; CEN; UZU; ECK; TRI; STO3; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-12 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; ING; SAN; AEG; MDT; SAP; BBVA; AMRN; JCI; G; MBG; TEF; TIT; TTE; ISP; BAYN; MT; LAT; KPN; HEIA; RWE; SIE; MUV2; CS; BNP; E; LHA; PHG; BN; FRE; HEI; BMW; CRH; BAS; WKL; FMS; ASML; BEI; VOW3; RAND; ADS; NVO; CDI; ETN; CON; HEN3; EN; AKZA; ALKS; TT; MLP; INTRK; STE; PNL; QGEN; CEC; BPE; MRK; SOI; TFI; ALV; LI; 1U1; GFC; NTZ; SSL; PRGO; ELHA; DEZ; VEON; TRIB; MF; BPSO; RYAAY; CRBN; ICLR; ELPE; TEP; ATTICA; MYTIL; BWB; CLB; AALB; AVDL; LPK; SAVE; LOUP; MUB; VOS; CRI; GMM; ASM; BEN; RHK; BESI; PUM; ERG; HAW; BDT; SLIGR; BOI; BRNL; ERF; TWEKA; VIRP; WSU; ARCAD; KSB; ELEC; IUR; GLO; EDAP; RSL2; DAM; LEI; HCO; VIL; CEN; UZU; TRI; STO3; ECK; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-13 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; ERIC; DTE; ALV; NOK; ING; SAN; AEG; MDT; SAP; JCI; AMRN; BBVA; G; TEF; TIT; MBG; TTE; ISP; BAYN; MT; LAT; KPN; HEIA; SIE; RWE; MUV2; CS; BNP; E; LHA; BN; PHG; FRE; HEI; BMW; BAS; CRH; WKL; FMS; ASML; BEI; RAND; VOW3; ADS; NVO; CDI; ETN; CON; HEN3; EN; AKZA; TT; ALKS; STE; MLP; INTRK; PNL; QGEN; CEC; BPE; SOI; MRK; TFI; ALV; LI; 1U1; GFC; NTZ; PRGO; SSL; ELHA; TRIB; DEZ; VEON; MF; BPSO; RYAAY; ICLR; CRBN; ELPE; TEP; ATTICA; MYTIL; CLB; BWB; AVDL; AALB; LPK; SAVE; LOUP; MUB; VOS; CRI; GMM; RHK; BEN; ASM; BESI; PUM; ERG; HAW; BDT; SLIGR; BOI; BRNL; ERF; TWEKA; VIRP; WSU; EDAP; ARCAD; ELEC; KSB; GLO; IUR; RSL2; DAM; LEI; HCO; VIL; CEN; UZU; TRI; STO3; ECK; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
1999-01-14 00:00:00,TPEIR; EUROB; SPM; ETE; MB; ALPHA; ITM; NEON; DB; DTE; ERIC; ALV; NOK; ING; AEG; SAN; MDT; SAP; AMRN; JCI; BBVA; G; TIT; MBG; TEF; ISP; TTE; BAYN; LAT; MT; KPN; HEIA; SIE; RWE; MUV2; CS; BNP; E; BN; LHA; PHG; FRE; HEI; BMW; BAS; CRH; WKL; FMS; ASML; BEI; RAND; VOW3; ADS; NVO; CDI; ETN; CON; HEN3; EN; AKZA; STE; TT; MLP; ALKS; INTRK; PNL; QGEN; CEC; BPE; SOI; MRK; TFI; ALV; LI; 1U1; GFC; NTZ; SSL; PRGO; ELHA; DEZ; TRIB; VEON; MF; BPSO; RYAAY; ICLR; CRBN; ELPE; TEP; ATTICA; MYTIL; CLB; BWB; AALB; AVDL; LPK; SAVE; LOUP; MUB; VOS; CRI; GMM; RHK; BESI; BEN; PUM; ASM; ERG; HAW; BDT; SLIGR; BOI; BRNL; ERF; TWEKA; VIRP; WSU; ARCAD; EDAP; ELEC; KSB; GLO; RSL2; DAM; IUR; LEI; HCO; CEN; VIL; UZU; TRI; STO3; ECK; PIG; AVAX; CBE; BZU; GE; BRE; CEM; DAN; BDB; REC; SOL; EM; IP; CE; MN; UNI
