date,symb
2003-01-27 00:00:00-05:00,DB; NOK; MDT; SAN; SNY; TTE; ING; SAP; BBVA; TEF; AMRN; NEON; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; FMS; NVO; RYAAY; ASML; VEON; TT; STE; PRGO; QGEN; ALKS; TS; JHX; STX; FLUT; ALV; TRIB; ICLR; NTZ; AVDL; CLB; EDAP
2003-01-28 00:00:00-05:00,DB; NOK; MDT; SAN; SNY; TTE; ING; SAP; BBVA; AMRN; TEF; E; NEON; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; FMS; NVO; RYAAY; ASML; VEON; TT; STE; PRGO; ALKS; QGEN; TS; JHX; STX; FLUT; ALV; TRIB; ICLR; NTZ; AVDL; CLB; EDAP
2003-01-29 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; BBVA; AMRN; TEF; NEON; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; FMS; NVO; RYAAY; ASML; TT; VEON; STE; PRGO; ALKS; QGEN; TS; JHX; STX; FLUT; ALV; TRIB; ICLR; NTZ; AVDL; CLB; EDAP
2003-01-30 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; BBVA; NEON; AMRN; TEF; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; FMS; NVO; RYAAY; ASML; VEON; TT; STE; PRGO; TS; ALKS; QGEN; JHX; STX; FLUT; TRIB; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-01-31 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; NEON; BBVA; AMRN; TEF; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; ASML; VEON; TT; STE; PRGO; ALKS; TS; QGEN; JHX; STX; FLUT; TRIB; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-03 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; CRH; MT; ETN; FMS; NVO; RYAAY; ASML; TT; VEON; STE; PRGO; TS; ALKS; QGEN; JHX; STX; TRIB; FLUT; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-04 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; CRH; MT; ETN; FMS; NVO; RYAAY; ASML; VEON; TT; STE; PRGO; TS; ALKS; QGEN; JHX; STX; TRIB; FLUT; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-05 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; FMS; NVO; RYAAY; ASML; VEON; TT; STE; PRGO; TS; ALKS; QGEN; JHX; STX; FLUT; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-06 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; PRGO; TS; ALKS; QGEN; JHX; STX; TRIB; FLUT; ALV; AVDL; ICLR; NTZ; CLB; EDAP
2003-02-07 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; NEON; SAP; ING; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; PRGO; TS; ALKS; QGEN; JHX; STX; FLUT; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-10 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; ING; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; PRGO; TS; ALKS; QGEN; JHX; STX; FLUT; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-11 00:00:00-05:00,DB; NOK; MDT; SAN; SNY; TTE; SAP; ING; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; PRGO; ALKS; QGEN; JHX; STX; FLUT; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-12 00:00:00-05:00,DB; MDT; NOK; SAN; SNY; TTE; SAP; ING; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; PRGO; ALKS; QGEN; JHX; FLUT; STX; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-13 00:00:00-05:00,DB; NOK; MDT; SAN; SNY; TTE; SAP; ING; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; PRGO; ALKS; QGEN; JHX; FLUT; STX; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-14 00:00:00-05:00,DB; NOK; MDT; SAN; SNY; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; ALKS; PRGO; QGEN; JHX; FLUT; STX; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-18 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; NEON; SAP; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ERIC; ACN; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; ALKS; PRGO; QGEN; JHX; TRIB; STX; FLUT; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-19 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; ALKS; PRGO; QGEN; JHX; STX; TRIB; FLUT; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-20 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; ASML; VEON; TT; STE; TS; ALKS; PRGO; QGEN; JHX; STX; TRIB; FLUT; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-02-21 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; ALKS; PRGO; QGEN; JHX; STX; TRIB; FLUT; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-24 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; ING; NEON; BBVA; TEF; AMRN; E; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; PRGO; ALKS; QGEN; JHX; STX; TRIB; FLUT; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-25 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; SAP; ING; NEON; BBVA; TEF; E; AMRN; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; PRGO; ALKS; QGEN; JHX; STX; TRIB; FLUT; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-26 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; SAP; NEON; ING; BBVA; TEF; AMRN; E; JCI; PHG; ACN; AEG; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; ASML; STE; TS; PRGO; ALKS; QGEN; TRIB; FLUT; JHX; STX; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-27 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; NEON; SAP; ING; BBVA; TEF; E; AMRN; JCI; PHG; ACN; AEG; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; ASML; STE; TS; ALKS; PRGO; QGEN; FLUT; TRIB; JHX; STX; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-02-28 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; ING; NEON; SAP; BBVA; TEF; E; AMRN; JCI; PHG; AEG; ACN; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; ASML; STE; TS; ALKS; PRGO; QGEN; TRIB; FLUT; JHX; STX; ALV; ICLR; NTZ; AVDL; CLB; EDAP
