date,symb
2023-01-18 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; BUD; MDT; IDEXY; ETN; SAN; RACE; NXPI; JCI; E; DOGEF; TT; STLA; ING; BBVA; BNTX; EXPGF; CRH; FLUT; KBCSF; GMAB; APTV; NOK; ARGX; DB; MT; IR; TEF; RYAAY; STE; ICLR; SPOT; TS; ERIC; PHG; AER; STX; PSNY; QGEN; FMS; ALLE; JAZZ; BABWF; JHX; AEG; ASND; GLOB; TX; ALV; PRGO; ALKS; EVO; ADNT; GMBL; GLPG; PRTA; ZGN; AMBP; TIGO; GRFS; SBLK; CVAC; CSTM; CMBT; CAAP; CRTO; OTLY; FREY; VALN; QURE; GDEV; CLB; WBX; NAMS; MRUS; IMTX; DAC; VEON; PHAR; STVN; MYTE; NEXA; DOLE; NVTS; AGRO; CMPR; AMRN; AVDL; PROC; MTLS; PHVS; GHRS; JMIA; EDAP; MX; DSX; MDXH; ATAI; PRQR; IVA; CLLS; IPHA; MLEC; NEON; NYXH; GNFT; SQNS; ASPS; NBTX; AFMD; ADSE; IOBT; TRIB; IFRX; IMPP; OP; ESEA; SHIP; GNTA; MYNA; GASS; LVTX; TRVG; NTZ; TOPS; DBVT; PXS; PSHG; ITRM; MYNZ
2023-01-19 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; BUD; MDT; IDEXY; ETN; SAN; RACE; E; JCI; NXPI; DOGEF; STLA; TT; ING; BBVA; BNTX; EXPGF; CRH; FLUT; GMAB; KBCSF; APTV; DB; ARGX; NOK; MT; IR; RYAAY; TEF; STE; ICLR; SPOT; TS; ERIC; PHG; AER; STX; PSNY; QGEN; FMS; JAZZ; BABWF; ALLE; JHX; AEG; ASND; GLOB; TX; ALV; PRGO; ALKS; EVO; ADNT; GMBL; GLPG; PRTA; ZGN; AMBP; GRFS; TIGO; CVAC; SBLK; CSTM; CMBT; CAAP; CRTO; OTLY; FREY; VALN; GDEV; QURE; CLB; NAMS; IMTX; DAC; MRUS; WBX; PHAR; VEON; STVN; NEXA; MYTE; DOLE; NVTS; AGRO; CMPR; AMRN; AVDL; PROC; MTLS; PHVS; GHRS; JMIA; EDAP; MX; DSX; MDXH; ATAI; IVA; CLLS; IPHA; PRQR; MLEC; GNFT; NYXH; NBTX; ASPS; SQNS; AFMD; NEON; IOBT; ADSE; TRIB; IFRX; OP; IMPP; ESEA; SHIP; GNTA; MYNA; GASS; LVTX; NTZ; TRVG; TOPS; DBVT; PXS; PSHG; ITRM; MYNZ
2023-01-20 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; BUD; MDT; IDEXY; ETN; SAN; RACE; E; JCI; NXPI; STLA; TT; DOGEF; ING; BBVA; BNTX; EXPGF; CRH; FLUT; GMAB; KBCSF; APTV; DB; ARGX; MT; NOK; IR; STE; SPOT; TEF; RYAAY; ICLR; TS; ERIC; PHG; AER; STX; PSNY; QGEN; FMS; BABWF; JAZZ; ALLE; JHX; AEG; ASND; GLOB; TX; ALV; PRGO; ALKS; GMBL; ADNT; EVO; GLPG; PRTA; ZGN; AMBP; TIGO; GRFS; CVAC; SBLK; CSTM; CMBT; CAAP; CRTO; OTLY; FREY; VALN; QURE; GDEV; CLB; WBX; NAMS; IMTX; DAC; MRUS; MYTE; VEON; STVN; PHAR; NEXA; DOLE; NVTS; CMPR; AGRO; AMRN; AVDL; MTLS; PHVS; PROC; GHRS; JMIA; EDAP; MX; DSX; MDXH; IVA; ATAI; CLLS; IPHA; PRQR; GNFT; NEON; MLEC; ASPS; NYXH; NBTX; AFMD; SQNS; IOBT; ADSE; TRIB; IMPP; IFRX; OP; ESEA; SHIP; MYNA; GNTA; GASS; LVTX; TRVG; NTZ; TOPS; DBVT; PXS; PSHG; ITRM; MYNZ
2023-01-23 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; BUD; MDT; IDEXY; ETN; SAN; RACE; NXPI; E; JCI; STLA; TT; ING; DOGEF; BBVA; BNTX; EXPGF; CRH; FLUT; GMAB; APTV; KBCSF; ARGX; DB; MT; NOK; IR; SPOT; STE; RYAAY; TEF; ICLR; TS; ERIC; PHG; STX; AER; PSNY; QGEN; FMS; BABWF; ALLE; JAZZ; JHX; AEG; ASND; GLOB; TX; ALV; PRGO; ALKS; GMBL; ADNT; EVO; GLPG; PRTA; ZGN; AMBP; TIGO; GRFS; CVAC; SBLK; CSTM; CMBT; CRTO; CAAP; OTLY; FREY; VALN; GDEV; WBX; CLB; QURE; NAMS; DAC; STVN; IMTX; MYTE; MRUS; VEON; DOLE; NEXA; PHAR; NVTS; CMPR; AGRO; AMRN; AVDL; MTLS; PHVS; JMIA; PROC; GHRS; MX; EDAP; DSX; IVA; CLLS; MDXH; ATAI; IPHA; PRQR; MLEC; ASPS; NYXH; GNFT; NBTX; SQNS; IOBT; AFMD; NEON; ADSE; OP; TRIB; IMPP; IFRX; ESEA; SHIP; MYNA; GNTA; GASS; TRVG; LVTX; NTZ; TOPS; DBVT; PXS; PSHG; ITRM; MYNZ
2023-01-24 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; BUD; MDT; IDEXY; ETN; SAN; RACE; JCI; NXPI; E; TT; STLA; ING; DOGEF; BBVA; BNTX; EXPGF; FLUT; CRH; APTV; GMAB; KBCSF; DB; MT; ARGX; IR; NOK; SPOT; RYAAY; STE; TEF; ICLR; TS; ERIC; PHG; STX; AER; PSNY; QGEN; FMS; ALLE; BABWF; JAZZ; JHX; AEG; ASND; GMBL; GLOB; TX; ALV; PRGO; ALKS; ADNT; EVO; PRTA; GLPG; ZGN; AMBP; TIGO; GRFS; CVAC; SBLK; CSTM; CMBT; CAAP; CRTO; OTLY; FREY; VALN; WBX; GDEV; QURE; CLB; NAMS; MRUS; DAC; MYTE; IMTX; STVN; VEON; DOLE; NEXA; PHAR; NVTS; CMPR; AGRO; AMRN; AVDL; MTLS; PHVS; PROC; GHRS; JMIA; EDAP; MX; MDXH; DSX; CLLS; IVA; ATAI; IPHA; PRQR; ASPS; NYXH; GNFT; NBTX; MLEC; SQNS; AFMD; IOBT; NEON; ADSE; TRIB; OP; IMPP; IFRX; ESEA; MYNA; SHIP; GASS; GNTA; TRVG; LVTX; NTZ; TOPS; DBVT; PXS; PSHG; ITRM; MYNZ
2023-01-25 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; BUD; MDT; IDEXY; ETN; SAN; RACE; JCI; NXPI; E; TT; ING; STLA; DOGEF; BBVA; BNTX; EXPGF; CRH; FLUT; APTV; GMAB; KBCSF; DB; MT; ARGX; NOK; IR; SPOT; RYAAY; STE; TEF; ICLR; TS; ERIC; PHG; STX; AER; PSNY; QGEN; FMS; ALLE; JHX; BABWF; JAZZ; AEG; ASND; GLOB; GMBL; TX; ALV; PRGO; ALKS; ADNT; EVO; PRTA; TIGO; GLPG; ZGN; AMBP; CVAC; GRFS; SBLK; CSTM; CMBT; CAAP; CRTO; OTLY; FREY; NAMS; WBX; CLB; GDEV; QURE; VALN; MRUS; DAC; STVN; VEON; IMTX; MYTE; DOLE; NEXA; NVTS; PHAR; CMPR; AGRO; AMRN; AVDL; MTLS; PHVS; GHRS; JMIA; PROC; EDAP; MX; MDXH; DSX; CLLS; IVA; ATAI; IPHA; PRQR; NYXH; GNFT; ASPS; MLEC; NBTX; AFMD; SQNS; IOBT; NEON; OP; ADSE; TRIB; IMPP; IFRX; ESEA; SHIP; MYNA; GNTA; GASS; LVTX; TRVG; NTZ; TOPS; DBVT; PXS; ITRM; PSHG; MYNZ
2023-01-26 00:00:00-05:00,ASML; NVO; ACN; TTE; SAP; SNY; BUD; MDT; IDEXY; ETN; SAN; NXPI; RACE; JCI; E; TT; ING; STLA; DOGEF; BBVA; BNTX; EXPGF; CRH; FLUT; KBCSF; APTV; GMAB; DB; MT; NOK; ARGX; IR; SPOT; RYAAY; STE; TEF; ICLR; TS; ERIC; PHG; STX; AER; PSNY; QGEN; BABWF; FMS; JHX; ALLE; JAZZ; AEG; ASND; GLOB; TX; ALV; GMBL; PRGO; ALKS; EVO; ADNT; PRTA; GLPG; TIGO; ZGN; AMBP; CVAC; GRFS; SBLK; CSTM; CMBT; CRTO; CAAP; NAMS; OTLY; WBX; FREY; GDEV; CLB; QURE; VALN; DAC; STVN; MRUS; MYTE; VEON; NEXA; DOLE; IMTX; PHAR; NVTS; AGRO; AMRN; CMPR; AVDL; MTLS; PHVS; JMIA; PROC; GHRS; EDAP; MX; MDXH; DSX; IVA; CLLS; ATAI; PRQR; IPHA; NBTX; GNFT; NYXH; MLEC; AFMD; SQNS; IOBT; NEON; ADSE; TRIB; OP; ASPS; IMPP; IFRX; ESEA; SHIP; GNTA; GASS; MYNA; LVTX; TRVG; NTZ; TOPS; DBVT; PXS; ITRM; PSHG; MYNZ
2023-01-27 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; MDT; BUD; IDEXY; ETN; SAN; RACE; NXPI; JCI; E; TT; ING; STLA; DOGEF; BBVA; BNTX; EXPGF; CRH; FLUT; APTV; GMAB; KBCSF; DB; MT; NOK; ARGX; IR; SPOT; RYAAY; STE; TEF; ICLR; TS; ERIC; PHG; STX; PSNY; AER; FMS; QGEN; BABWF; JHX; ALLE; JAZZ; AEG; ASND; GLOB; ALV; TX; GMBL; PRGO; ALKS; ADNT; EVO; PRTA; GLPG; ZGN; TIGO; AMBP; CVAC; GRFS; SBLK; CSTM; CMBT; NAMS; CRTO; CAAP; OTLY; WBX; FREY; CLB; GDEV; VALN; QURE; DAC; MYTE; MRUS; STVN; DOLE; PHAR; NVTS; NEXA; IMTX; VEON; AGRO; CMPR; AMRN; AVDL; MTLS; JMIA; PHVS; GHRS; PROC; MX; EDAP; DSX; MDXH; IVA; CLLS; PRQR; ATAI; IPHA; GNFT; NBTX; MLEC; NYXH; AFMD; SQNS; IOBT; ASPS; NEON; OP; TRIB; ADSE; IMPP; IFRX; ESEA; MYNA; SHIP; GNTA; GASS; TRVG; LVTX; NTZ; TOPS; DBVT; PXS; PSHG; ITRM; BREA; MYNZ
2023-01-30 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; MDT; BUD; IDEXY; ETN; SAN; RACE; NXPI; JCI; E; TT; ING; STLA; DOGEF; BBVA; BNTX; EXPGF; CRH; FLUT; APTV; KBCSF; GMAB; DB; NOK; MT; ARGX; IR; SPOT; STE; TEF; RYAAY; ICLR; TS; PHG; ERIC; STX; AER; PSNY; FMS; QGEN; BABWF; ALLE; JHX; JAZZ; AEG; ASND; GLOB; ALV; TX; GMBL; PRGO; ALKS; ADNT; EVO; PRTA; GLPG; ZGN; TIGO; AMBP; CVAC; GRFS; SBLK; CSTM; NAMS; CMBT; CRTO; CAAP; OTLY; WBX; FREY; CLB; GDEV; QURE; VALN; MRUS; DAC; MYTE; STVN; DOLE; IMTX; PHAR; NEXA; NVTS; VEON; AGRO; CMPR; AMRN; AVDL; MTLS; PROC; GHRS; PHVS; JMIA; EDAP; MX; DSX; MDXH; IVA; CLLS; ATAI; PRQR; IPHA; GNFT; NBTX; AFMD; NYXH; MLEC; SQNS; IOBT; NEON; ASPS; TRIB; ADSE; OP; IMPP; IFRX; ESEA; MYNA; SHIP; GNTA; GASS; TRVG; LVTX; NTZ; TOPS; DBVT; PXS; ITRM; PSHG; BREA; MYNZ
2023-01-31 00:00:00-05:00,ASML; NVO; ACN; SAP; TTE; SNY; BUD; MDT; IDEXY; ETN; SAN; NXPI; RACE; JCI; E; TT; ING; STLA; DOGEF; BBVA; BNTX; EXPGF; CRH; FLUT; APTV; KBCSF; GMAB; DB; NOK; ARGX; MT; SPOT; IR; STE; TEF; ICLR; RYAAY; TS; ERIC; PHG; STX; AER; PSNY; FMS; QGEN; BABWF; ALLE; JHX; JAZZ; AEG; ASND; GLOB; ALV; TX; GMBL; PRGO; ALKS; ADNT; EVO; PRTA; GLPG; ZGN; AMBP; TIGO; CVAC; GRFS; SBLK; CSTM; CMBT; CRTO; CAAP; OTLY; NAMS; WBX; FREY; CLB; GDEV; QURE; VALN; MRUS; DAC; DOLE; MYTE; IMTX; STVN; NEXA; NVTS; PHAR; VEON; CMPR; AGRO; AMRN; AVDL; MTLS; PROC; JMIA; PHVS; GHRS; EDAP; MX; DSX; MDXH; IVA; CLLS; ATAI; PRQR; IPHA; GNFT; AFMD; MLEC; NBTX; NYXH; SQNS; IOBT; ASPS; ADSE; TRIB; OP; NEON; IMPP; IFRX; ESEA; MYNA; GNTA; SHIP; GASS; LVTX; TRVG; NTZ; TOPS; DBVT; PXS; ITRM; PSHG; BREA; MYNZ
