date,symb
2022-01-19 00:00:00-05:00,ASML; ACN; NVO; SAP; GMBL; MDT; SNY; BUD; TTE; IDEXY; ETN; NXPI; STLA; SAN; DOGEF; JCI; RACE; SPOT; E; BNTX; TT; ING; EXPGF; APTV; CRH; ERIC; PHG; BBVA; NOK; FLUT; KBCSF; MT; RYAAY; DB; IR; PSNY; STE; GMAB; ICLR; TEF; OP; STX; FMS; ARGX; JHX; AER; TS; QGEN; GLOB; BABWF; ALLE; JAZZ; AEG; ALV; EVO; TX; ASND; CVAC; PRGO; TIGO; AMBP; OTLY; ALKS; ADNT; VALN; GLPG; GRFS; WBX; CSTM; VEON; ZGN; PRTA; NVTS; CRTO; MRUS; CMPR; SBLK; MYTE; DAC; GDEV; IMTX; FREY; AMRN; CLB; MTLS; DOLE; NEXA; JMIA; PROC; NAMS; CMBT; PHVS; QURE; IMPP; TOPS; ATAI; CAAP; STVN; GHRS; NYXH; AFMD; MX; CLLS; AGRO; PRQR; IVA; AVDL; PHAR; PSHG; IOBT; ADSE; MDXH; NBTX; MLEC; IPHA; DSX; ASPS; SQNS; MYNA; EDAP; IFRX; GNFT; GNTA; TRIB; ESEA; ITRM; SHIP; NTZ; LVTX; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-20 00:00:00-05:00,ASML; ACN; NVO; SAP; GMBL; MDT; SNY; BUD; TTE; IDEXY; ETN; NXPI; SAN; DOGEF; STLA; JCI; SPOT; RACE; TT; E; EXPGF; BNTX; ING; APTV; CRH; ERIC; PHG; BBVA; NOK; FLUT; KBCSF; MT; RYAAY; DB; IR; PSNY; GMAB; STE; ICLR; TEF; STX; FMS; ARGX; OP; JHX; AER; TS; BABWF; QGEN; GLOB; ALLE; JAZZ; AEG; EVO; TX; ALV; ASND; PRGO; CVAC; TIGO; AMBP; OTLY; ALKS; GLPG; ADNT; GRFS; VALN; WBX; CSTM; VEON; ZGN; NVTS; CRTO; PRTA; CMPR; MRUS; SBLK; MYTE; DAC; FREY; AMRN; GDEV; IMTX; CLB; DOLE; MTLS; NEXA; JMIA; PROC; NAMS; CMBT; PHVS; TOPS; QURE; IMPP; ATAI; CAAP; STVN; GHRS; NYXH; MX; AGRO; AFMD; CLLS; IVA; PHAR; PRQR; AVDL; PSHG; MDXH; ADSE; IOBT; NBTX; MLEC; IPHA; ASPS; DSX; MYNA; SQNS; EDAP; GNFT; IFRX; GNTA; TRIB; ESEA; ITRM; SHIP; NTZ; LVTX; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-21 00:00:00-05:00,ASML; ACN; NVO; SAP; MDT; GMBL; SNY; BUD; TTE; IDEXY; ETN; NXPI; SAN; STLA; DOGEF; JCI; RACE; SPOT; TT; E; EXPGF; ING; BNTX; APTV; CRH; ERIC; PHG; BBVA; NOK; FLUT; KBCSF; RYAAY; MT; IR; DB; STE; PSNY; GMAB; ICLR; TEF; STX; FMS; ARGX; JHX; AER; TS; BABWF; QGEN; ALLE; GLOB; JAZZ; AEG; OP; ALV; EVO; TX; ASND; PRGO; TIGO; CVAC; AMBP; OTLY; ALKS; GLPG; ADNT; GRFS; WBX; VALN; CSTM; VEON; ZGN; NVTS; PRTA; CRTO; CMPR; MRUS; SBLK; MYTE; DAC; FREY; IMTX; AMRN; CLB; GDEV; DOLE; MTLS; NAMS; PROC; NEXA; JMIA; CMBT; QURE; PHVS; TOPS; CAAP; STVN; GHRS; ATAI; NYXH; IMPP; MX; AGRO; CLLS; AFMD; IVA; PHAR; PSHG; PRQR; AVDL; MDXH; NBTX; IOBT; ADSE; MLEC; IPHA; ASPS; DSX; MYNA; SQNS; EDAP; GNFT; IFRX; GNTA; TRIB; ESEA; SHIP; ITRM; NTZ; LVTX; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-24 00:00:00-05:00,ASML; ACN; NVO; SAP; GMBL; MDT; SNY; BUD; TTE; IDEXY; ETN; NXPI; JCI; SAN; STLA; DOGEF; RACE; SPOT; TT; E; BNTX; EXPGF; ING; APTV; CRH; ERIC; BBVA; PHG; NOK; FLUT; KBCSF; RYAAY; IR; MT; DB; PSNY; GMAB; STE; ICLR; TEF; STX; FMS; ARGX; JHX; AER; TS; ALLE; QGEN; GLOB; BABWF; JAZZ; OP; AEG; EVO; ALV; ASND; TX; PRGO; TIGO; ALKS; OTLY; CVAC; AMBP; ADNT; GLPG; GRFS; WBX; VALN; CSTM; ZGN; VEON; PRTA; CRTO; NVTS; CMPR; MRUS; SBLK; MYTE; DAC; FREY; CLB; AMRN; GDEV; IMTX; MTLS; DOLE; NAMS; PROC; JMIA; NEXA; QURE; CMBT; STVN; PHVS; CAAP; GHRS; ATAI; TOPS; NYXH; IMPP; AGRO; AFMD; CLLS; MX; IVA; PRQR; AVDL; PSHG; PHAR; MDXH; IOBT; ADSE; MLEC; NBTX; IPHA; ASPS; DSX; SQNS; MYNA; EDAP; GNFT; IFRX; GNTA; TRIB; ESEA; SHIP; ITRM; LVTX; NTZ; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-25 00:00:00-05:00,ASML; ACN; NVO; SAP; GMBL; MDT; SNY; BUD; TTE; IDEXY; ETN; NXPI; SAN; JCI; STLA; DOGEF; RACE; E; TT; SPOT; BNTX; ING; EXPGF; ERIC; APTV; CRH; PHG; BBVA; NOK; KBCSF; FLUT; DB; MT; IR; RYAAY; PSNY; TEF; STE; GMAB; ICLR; FMS; STX; ARGX; JHX; AER; TS; ALLE; QGEN; GLOB; BABWF; JAZZ; AEG; OP; ALV; EVO; ASND; TX; PRGO; TIGO; CVAC; OTLY; ALKS; AMBP; ADNT; GLPG; GRFS; WBX; VALN; CSTM; VEON; ZGN; PRTA; CRTO; MRUS; CMPR; NVTS; SBLK; MYTE; DAC; AMRN; CLB; FREY; GDEV; IMTX; DOLE; MTLS; PROC; NAMS; NEXA; CMBT; JMIA; QURE; PHVS; CAAP; STVN; TOPS; ATAI; GHRS; NYXH; AGRO; IMPP; CLLS; AFMD; MX; IVA; PHAR; PSHG; AVDL; PRQR; IOBT; MDXH; ADSE; MLEC; NBTX; IPHA; ASPS; DSX; MYNA; EDAP; SQNS; GNFT; IFRX; GNTA; TRIB; ESEA; SHIP; ITRM; LVTX; NTZ; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-26 00:00:00-05:00,ASML; ACN; NVO; SAP; GMBL; MDT; SNY; TTE; BUD; IDEXY; ETN; NXPI; SAN; JCI; STLA; DOGEF; RACE; BNTX; E; TT; ING; EXPGF; SPOT; ERIC; APTV; CRH; BBVA; PHG; NOK; KBCSF; FLUT; DB; IR; RYAAY; MT; PSNY; TEF; STE; ICLR; GMAB; STX; FMS; ARGX; JHX; AER; TS; ALLE; GLOB; BABWF; QGEN; JAZZ; AEG; OP; ALV; ASND; EVO; TX; PRGO; TIGO; ALKS; CVAC; OTLY; AMBP; ADNT; GLPG; GRFS; WBX; VALN; CSTM; VEON; ZGN; PRTA; NVTS; CRTO; CMPR; MRUS; SBLK; MYTE; AMRN; DAC; GDEV; CLB; FREY; IMTX; DOLE; MTLS; PROC; NAMS; NEXA; CMBT; JMIA; QURE; PHVS; CAAP; GHRS; TOPS; STVN; ATAI; NYXH; AGRO; IMPP; MX; AFMD; CLLS; IVA; PHAR; PSHG; AVDL; PRQR; IOBT; MDXH; ADSE; MLEC; NBTX; IPHA; ASPS; DSX; MYNA; EDAP; SQNS; GNFT; IFRX; GNTA; ESEA; TRIB; LVTX; SHIP; ITRM; NTZ; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-27 00:00:00-05:00,ASML; ACN; NVO; SAP; MDT; SNY; GMBL; TTE; BUD; IDEXY; ETN; SAN; NXPI; STLA; JCI; DOGEF; RACE; E; BNTX; TT; ING; EXPGF; SPOT; ERIC; APTV; CRH; BBVA; PHG; NOK; KBCSF; FLUT; DB; RYAAY; IR; TEF; ICLR; MT; PSNY; STE; GMAB; STX; FMS; ARGX; JHX; TS; AER; ALLE; BABWF; QGEN; GLOB; JAZZ; AEG; OP; ALV; ASND; EVO; TX; PRGO; GLPG; TIGO; AMBP; ALKS; CVAC; OTLY; ADNT; GRFS; WBX; VALN; CSTM; VEON; ZGN; CRTO; SBLK; PRTA; CMPR; MRUS; NVTS; DAC; MYTE; GDEV; AMRN; CLB; IMTX; DOLE; FREY; PROC; MTLS; NAMS; NEXA; CMBT; PHVS; JMIA; QURE; CAAP; GHRS; TOPS; ATAI; STVN; NYXH; AGRO; MX; IVA; CLLS; AFMD; IMPP; PSHG; PHAR; PRQR; AVDL; IOBT; ADSE; MDXH; MLEC; NBTX; IPHA; ASPS; DSX; MYNA; EDAP; SQNS; IFRX; GNFT; ESEA; TRIB; GNTA; LVTX; SHIP; ITRM; NTZ; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-28 00:00:00-05:00,ASML; ACN; NVO; SAP; GMBL; MDT; SNY; TTE; BUD; IDEXY; ETN; SAN; NXPI; JCI; STLA; DOGEF; RACE; BNTX; E; TT; ING; EXPGF; SPOT; ERIC; CRH; APTV; BBVA; PHG; NOK; FLUT; KBCSF; DB; RYAAY; IR; ICLR; TEF; MT; PSNY; STE; GMAB; STX; FMS; ARGX; JHX; TS; AER; QGEN; ALLE; BABWF; GLOB; JAZZ; AEG; OP; ASND; EVO; ALV; TX; PRGO; GLPG; TIGO; AMBP; ALKS; CVAC; OTLY; ADNT; GRFS; WBX; VALN; CSTM; VEON; ZGN; CRTO; SBLK; PRTA; CMPR; NVTS; MRUS; DAC; MYTE; AMRN; GDEV; CLB; DOLE; IMTX; FREY; MTLS; IMPP; PROC; NAMS; NEXA; CMBT; JMIA; PHVS; QURE; CAAP; TOPS; ATAI; GHRS; STVN; NYXH; AGRO; MX; AFMD; IVA; CLLS; PHAR; PSHG; AVDL; PRQR; IOBT; ADSE; MDXH; MLEC; NBTX; IPHA; ASPS; DSX; MYNA; EDAP; SQNS; IFRX; GNFT; ESEA; SHIP; TRIB; GNTA; LVTX; ITRM; NTZ; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-01-31 00:00:00-05:00,ASML; ACN; NVO; GMBL; SAP; MDT; SNY; TTE; BUD; IDEXY; ETN; NXPI; SAN; JCI; STLA; DOGEF; BNTX; RACE; SPOT; E; TT; EXPGF; ING; ERIC; APTV; CRH; PHG; BBVA; NOK; FLUT; KBCSF; DB; RYAAY; IR; ICLR; MT; GMAB; TEF; STE; PSNY; STX; FMS; ARGX; JHX; TS; AER; GLOB; QGEN; ALLE; BABWF; JAZZ; AEG; OP; ASND; ALV; EVO; TX; PRGO; GLPG; AMBP; TIGO; CVAC; OTLY; ALKS; ADNT; GRFS; WBX; VALN; CSTM; VEON; ZGN; CRTO; NVTS; PRTA; SBLK; MRUS; CMPR; DAC; AMRN; MYTE; GDEV; FREY; CLB; IMTX; MTLS; DOLE; PROC; JMIA; NAMS; NEXA; QURE; CMBT; PHVS; ATAI; GHRS; CAAP; TOPS; STVN; NYXH; AGRO; AFMD; MX; IVA; CLLS; PHAR; AVDL; PRQR; PSHG; IOBT; IMPP; ADSE; MDXH; MLEC; NBTX; IPHA; ASPS; DSX; MYNA; SQNS; EDAP; IFRX; GNFT; ESEA; SHIP; TRIB; GNTA; LVTX; ITRM; NTZ; TRVG; NEON; GASS; DBVT; MYNZ; PXS
2022-02-01 00:00:00-05:00,ASML; ACN; NVO; SAP; GMBL; MDT; SNY; TTE; BUD; IDEXY; ETN; NXPI; SAN; STLA; JCI; BNTX; DOGEF; RACE; SPOT; E; EXPGF; ING; TT; ERIC; APTV; CRH; BBVA; PHG; NOK; FLUT; KBCSF; DB; RYAAY; MT; IR; ICLR; GMAB; STE; PSNY; TEF; STX; FMS; ARGX; JHX; TS; AER; GLOB; QGEN; BABWF; ALLE; JAZZ; AEG; OP; ALV; EVO; ASND; TX; PRGO; CVAC; GLPG; AMBP; TIGO; OTLY; ALKS; ADNT; GRFS; WBX; VALN; CSTM; ZGN; VEON; CRTO; NVTS; SBLK; PRTA; MRUS; DAC; CMPR; AMRN; MYTE; GDEV; FREY; CLB; DOLE; MTLS; IMTX; JMIA; PROC; NAMS; NEXA; CMBT; QURE; PHVS; TOPS; ATAI; GHRS; CAAP; STVN; AGRO; NYXH; IVA; AFMD; MX; CLLS; PRQR; AVDL; PHAR; PSHG; IOBT; IMPP; ADSE; MDXH; NBTX; MLEC; IPHA; DSX; ASPS; MYNA; SQNS; EDAP; IFRX; GNFT; ESEA; SHIP; TRIB; GNTA; ITRM; LVTX; NTZ; TRVG; NEON; GASS; DBVT; MYNZ; PXS
